x,y
354,463
412,69
424,426
171,479
490,442
122,455
211,12
468,389
267,464
467,473
400,120
340,117
425,145
57,202
264,51
95,177
413,294
20,180
273,472
487,50
110,162
281,284
485,334
427,365
195,415
48,482
157,332
52,60
152,336
472,195
204,48
66,132
228,283
10,257
80,296
361,390
412,477
327,64
460,499
487,100
272,111
212,235
198,240
238,176
12,62
312,470
253,400
402,486
466,325
153,438
2,346
194,168
495,39
225,334
188,322
298,180
250,49
432,117
32,74
416,350
198,403
167,402
481,47
211,411
443,144
447,270
433,360
207,492
271,171
190,109
279,484
223,263
72,401
362,83
81,316
475,159
93,161
149,328
348,10
339,281
460,369
172,112
0,39
358,478
251,376
478,497
435,261
491,169
357,132
187,457
58,164
99,86
403,443
72,196
35,198
397,380
102,367
228,249
363,100
305,466
457,182
250,219
349,40
293,404
409,306
93,56
416,323
239,97
135,303
9,250
78,427
318,189
118,162
70,138
345,322
27,69
151,476
12,462
364,221
494,29
93,445
291,381
64,62
15,351
59,432
220,351
115,51
445,60
150,64
477,3
187,52
199,378
425,287
63,450
228,380
8,60
149,78
400,109
131,70
369,237
419,308
463,370
445,173
441,456
401,171
379,307
190,332
168,172
199,138
432,139
97,253
362,32
301,367
316,57
109,27
197,128
219,14
207,429
305,475
297,341
297,243
465,294
456,246
379,448
259,27
364,212
25,258
20,185
115,4
347,85
28,410
205,13
375,71
288,423
216,398
394,143
368,92
189,405
78,177
285,418
416,499
441,104
90,207
405,363
139,468
271,227
11,54
132,327
58,145
430,102
64,211
148,50
294,316
265,297
221,295
411,61
216,154
284,316
287,36
460,99
467,173
179,36
259,461
324,419
407,140
26,413
441,351
116,447
99,65
473,147
53,249
467,196
59,191
95,223
186,214
391,252
422,73
350,498
455,331
244,431
402,402
357,215
261,211
149,209
34,171
460,468
84,114
91,162
85,114
63,118
100,492
277,407
486,290
349,410
120,267
182,416
269,18
84,415
66,321
72,92
176,329
471,455
346,127
370,365
220,260
215,370
169,262
13,83
98,403
374,11
23,6
265,372
165,26
399,324
412,54
233,299
404,253
408,478
291,25
131,192
237,230
173,84
167,403
81,194
331,130
110,480
423,266
31,170
262,62
210,460
196,22
439,494
439,96
155,385
100,455
253,437
296,267
357,5
414,240
279,433
493,276
108,114
